"Name","Address","City","Description","Closed","Reopened","Reason"
"JIN CHINA BISTRO","123 ASTRONAUT E S ONIZUKA ST # 202","LOS ANGELES","RESTAURANT (31-60) SEATS HIGH RISK",02/03/2026,02/13/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"PERU CHICHA PERUVIAN RESTAURANT","14800 S WESTERN AVE 103","GARDENA","RESTAURANT (0-30) SEATS HIGH RISK",02/03/2026,02/12/2026,"VERMIN INFESTATION - CALIFORNIA HEALTH AND SAFETY CODE SECTION 114259.1"
"FU YI RETAIL STORE","127 S GARFIELD AVE STE #A","MONTEREY PARK","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",02/03/2026,,"Vermin Infestation California Health and Safety Code Section 114259.1"
"PIZZA SUPREME LLC","19070 LA PUENTE RD","WEST COVINA","RESTAURANT (31-60) SEATS HIGH RISK",02/03/2026,02/06/2026,"VERMIN INFESTATION - California Health and Safety Code, section 114259.1"
"HONG KONG VIP KITCHEN","140 W VALLEY BLVD # 107","SAN GABRIEL","RESTAURANT (31-60) SEATS HIGH RISK",02/02/2026,02/05/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"NEW EAST TOWN HOT POT INC","18268 GALE AVE STE B","INDUSTRY","RESTAURANT (61-150) SEATS HIGH RISK",02/02/2026,02/23/2026,"Sewage Discharge - California Health and Safety Code Section 114190"
"SHINANO","1106 S ATLANTIC BLVD","MONTEREY PARK","RESTAURANT (61-150) SEATS HIGH RISK",02/02/2026,02/18/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1 "
"BAJA FRESH 30207","5780 CANOGA AVE STE A","WOODLAND HILLS","RESTAURANT (0-30) SEATS HIGH RISK",02/02/2026,02/03/2026,"No Method to Clean and Sanitize Available  California Health and Safety Code Section 114095"
"HASHIM'S GRILL","5575 W MANCHESTER AVE","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK",02/02/2026,02/14/2026,"Vermin Infestation California Health and Safety Code Section 114259.1"
"INDIA SWEETS & SPICES         ","22009 SHERMAN WAY ","CANOGA PARK","FOOD MKT RETAIL (1-1,999 SF) MODERATE RISK",02/02/2026,02/04/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"SHAKEY'S PIZZA PARLOR","13701 FOOTHILL BLVD","SYLMAR","RESTAURANT (151 + ) SEATS HIGH RISK",02/02/2026,02/05/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"TAMALE MAN ORIGINAL","3320 N EASTERN AVE","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK",01/30/2026,02/12/2026,"Vermin infestation - California Health and Safety Code section 114259.1"
"FACTORY TEA BAR","323 S MISSION DR","SAN GABRIEL","RESTAURANT (61-150) SEATS HIGH RISK",01/30/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"UNIVERSAL GROCERY AND DELI  ","5021 W SANTA MONICA BLVD ","LOS ANGELES","FOOD MKT RETAIL (1-1,999 SF) MODERATE RISK",01/30/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"DONTE'S AND YARETZI PRODUCE","4501 S ALAMEDA ST UNIT P2","LOS ANGELES","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",01/30/2026,02/06/2026,"California Health and Safety Code, sections 114259.1"
"PALMS INN","430 W PALMDALE BLVD","PALMDALE","PUBLIC SWIMMING POOL MODERATE RISK ADDL",01/29/2026,,"Inadequate Chlorine / Disinfectant residual  California Code of Regulations 65529, 65545"
"LAS PALMITAS MINI MARKET","1205 WALL ST","LOS ANGELES","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",01/29/2026,02/03/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"DAN'S MINI MART","11100 S VERMONT AVE BLDG 1","LOS ANGELES","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",01/29/2026,,"Vermin Infestation-California Health and Safety Code Section 114259.1"
"COMMERCE TRUCK STOP           ","4560 E WASHINGTON BLVD ","COMMERCE","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",01/29/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"DOMINO'S PIZZA #7833","901 S LA BREA AVE","INGLEWOOD","RESTAURANT (0-30) SEATS MODERATE RISK",01/29/2026,01/29/2026,"Sewage Discharge - California Health and Safety Code Section 114190 No Method to Clean and Sanitize Available  California Health and Safety Code Section 114095"
"ELLIOTT LIQUORS             ","13716 E AMAR RD ","LA PUENTE","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",01/29/2026,02/05/2026," Vermin Infestation - California Health and Safety Code Section 114259.1"
"MEIZHOU DONGPO","10250 SANTA MONICA BLVD #200A","LOS ANGELES","RESTAURANT (61-150) SEATS HIGH RISK",01/28/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"OROCHON RAMEN","123 ASTRONAUT E S ONIZUKA ST #303","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK",01/27/2026,01/30/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"TASTY DELIGHT","16024 ARROW HWY","IRWINDALE","RESTAURANT (0-30) SEATS HIGH RISK",01/27/2026,02/10/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"NEW WORLD TEAMORROW","1005 MISSION ST UNIT A","SOUTH PASADENA","RESTAURANT (31-60) SEATS HIGH RISK",01/27/2026,01/28/2026,"No Method to Clean and Sanitize Available  California Health and Safety Code Section 114095"
"GREENBRIER MOBILE ESTATES","21425 SOLEDAD CANYON RD ","SAUGUS","PUBLIC SWIMMING POOL LOW RISK ADDITIONAL",01/27/2026,02/12/2026,"Entrapment / Suction Hazard  Noncompliance with Virginia Graeme Baker Act  California Health & Safety Code 116064, 116064.1, 116064.2; California Code of Regulations 65545; California Building Code 3162B.  Observed only 1 main drain at the spa.  No Suction Vacuum Release System (SVRS) at the pool equipment room."
"FUGETSU DO                  ","315 E 1ST ST","LOS ANGELES","RESTAURANT (0-30) SEATS MODERATE RISK",01/27/2026,01/29/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"BJ'S RESTAURANT & BREWHOUSE","1716 MONTEBELLO TOWN CTR ","MONTEBELLO","RESTAURANT (151 + ) SEATS HIGH RISK",01/27/2026,01/29/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1 "
"CASA ETIWANDA APTS","8523 ETIWANDA AVE","NORTHRIDGE","PUBLIC SWIMMING POOL LOW RISK 1",01/27/2026,,"Fecal Accident or Other Water Contamination  California Health & Safety Code 116043, California Code of Regulations 65533, 65545, 65546  Fecal Accident or Other Water Contamination  California Health & Safety Code 116043, California Code of Regulations 65533, 65545, 65546        "
"BOARD HOUSE COFFEE","11901 SANTA MONICA BLVD # 112","LOS ANGELES","RESTAURANT (0-30) SEATS MODERATE RISK",01/27/2026,02/02/2026,"Vermin - California Health and Safety Code Section 114259.1"
"BOARD HOUSE COFFEE","11901 SANTA MONICA BLVD # 112","LOS ANGELES","RESTAURANT (0-30) SEATS LOW RISK",01/27/2026,02/02/2026,"Vermin - California Health and Safety Code Section 114259.1"
"DAILY DONUTS","1908 HILLHURST AVE","LOS ANGELES","RESTAURANT (0-30) SEATS MODERATE RISK",01/26/2026,01/29/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"CHEAP LIQUOR","14329 GARFIELD AVE ","PARAMOUNT","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",01/26/2026,01/28/2026,"Vermin Infestation - California Health and Safety Code Section 11425"
"ART'S 76                    ","5890 HOLLYWOOD BLVD ","LOS ANGELES","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",01/26/2026,01/28/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"ACE LIQUOR                  ","6015 E OLYMPIC BLVD ","LOS ANGELES","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",01/26/2026,01/28/2026,"Vermin Infestation- California Health and Safety Code Section 114259.1"
"LITTLE GUYS HOT POT INC","18250 GALE AVE","ROWLAND HEIGHTS","RESTAURANT (61-150) SEATS HIGH RISK",01/23/2026,01/30/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"A&S LIQUOR MARKET","3088 W PICO BLVD ","LOS ANGELES","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",01/23/2026,01/28/2026,"Vermin Infestation California Health and Safety Code Section 114259.1"
"TUMBI","115 SANTA MONICA BLVD","SANTA MONICA","RESTAURANT (0-30) SEATS HIGH RISK",01/22/2026,01/29/2026,"No Public Health Permit - California Health and Safety Code Section 114381 Vermin Infestation - California Health and Safety Code Section 114259.1"
"EL NICA RESTAURANT          ","2212 W PICO BLVD ","LOS ANGELES","RESTAURANT (31-60) SEATS HIGH RISK",01/22/2026,01/25/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"SHINANO","1106 S ATLANTIC BLVD","MONTEREY PARK","RESTAURANT (61-150) SEATS HIGH RISK",01/21/2026,01/26/2026,"Vermin Infestation California Health and Safety Code Section 114259.1"
"ATHENS LIQUOR","12000 S FIGUEROA ST","LOS ANGELES","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",01/21/2026,01/26/2026,"California Health and Safety Code, section 114259.1 Vermin Infestation"
"JOE'S DOWNTOWN MARKET","1855 INDUSTRIAL ST STE 102","LOS ANGELES","FOOD MKT RETAIL (2,000+ SF) LOW RISK",01/21/2026,01/23/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"TAN-CHA","3407 W 6TH ST UNIT 101B","LOS ANGELES","RESTAURANT (0-30) SEATS MODERATE RISK",01/20/2026,,"No Method to Clean and Sanitize Available  California Health and Safety Code Section 114095"
"CHRIS & PITTS BBQ","9839 ARTESIA BLVD","BELLFLOWER","RESTAURANT (61-150) SEATS HIGH RISK",01/20/2026,01/22/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"MR H'S TACOS","8642 E IMPERIAL HWY ","DOWNEY","RESTAURANT (0-30) SEATS HIGH RISK",01/20/2026,02/10/2026,"Vermin Infestation California Health and Safety Code Section 114259.1"
"LAS CASA DEL SOL","9131 BURNET AVE ","NORTH HILLS","CONDO (21-50) UNITS",01/20/2026,02/24/2026,"Pool Water is Cloudy/green with Algae and/or the Main Drain is Not Clearly Visible  California Code of Regulations 65527, 65545"
"ELEPHANTE","1332 2ND ST # C","SANTA MONICA","RESTAURANT (0-30) SEATS MODERATE RISK",01/20/2026,01/22/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"MITCHELL'S DONUTS           ","10039 VALLEY BLVD","EL MONTE","RESTAURANT (0-30) SEATS MODERATE RISK",01/16/2026,01/19/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"PREMIER FIESTA MEXICANA","7300 EASTERN AVE ","BELL GARDENS","RESTAURANT (151 + ) SEATS HIGH RISK",01/16/2026,02/06/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1  Inspection Score Less Than 70 -  LACC 8.04.225 "
"RESTUARANTE Y PUPUSERIA LEMUS #3","100 E CENTURY BLVD # A","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK",01/16/2026,01/23/2026,"Vermin Infestation California Health and Safety Code Section 114259.1"
"LEE'S CHINESE FAST FOOD","1610 SANTA MONICA BLVD","SANTA MONICA","RESTAURANT (0-30) SEATS HIGH RISK",01/15/2026,01/15/2026,"Sewage Discharge - California Health and Safety Code Section 114190 "
"DOUBLE - O","20627 GOLDEN SPRINGS DR 1-K","DIAMOND BAR","RESTAURANT (61-150) SEATS HIGH RISK",01/15/2026,01/18/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"DON LINO'S MEXICAN FOOD","3525 W 3RD ST 4","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK",01/15/2026,01/17/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"PEACHLAND OWNERS ASSOCIATION","25003 PEACHLAND AVE ","NEWHALL","PUBLIC SWIMMING POOL LOW RISK 1",01/14/2026,01/22/2026,"Pool Water is Cloudy/green with Algae and/or the Main Drain is Not Clearly Visible  California Code of Regulations 65527, 65545"
"CAJUN CRAWFISH STOP","405 N VINCENT AVE","COVINA","RESTAURANT (31-60) SEATS HIGH RISK",01/14/2026,01/16/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"LIU ROAST FISH","227 W VALLEY BLVD STE 128 C","SAN GABRIEL","RESTAURANT (31-60) SEATS HIGH RISK",01/14/2026,01/19/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"RAHA DISCOUNT INC","3321 HYDE PARK BLVD ","LOS ANGELES","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",01/14/2026,01/18/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"IHOP RESTAURANT","3111 BALDWIN PARK BLVD ","BALDWIN PARK","RESTAURANT (151 + ) SEATS HIGH RISK",01/13/2026,01/15/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"PARADISE BUFFET","6257 ATLANTIC AVE","BELL","RESTAURANT (151 + ) SEATS HIGH RISK",01/13/2026,01/15/2026,"Vermin Infestation California Health and Safety Code Section 114259.1"
"PALACE MARKET","1014 E MANCHESTER AVE UNIT J-O","LOS ANGELES","FOOD MKT RETAIL (2,000+ SF) LOW RISK",01/13/2026,01/15/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"EL GUANACO RESTAURANT","2015 W 7TH ST","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK",01/13/2026,01/21/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"TANTAWAN THAI KITCHEN","1557 E AMAR RD # D","WEST COVINA","RESTAURANT (61-150) SEATS HIGH RISK",01/13/2026,01/16/2026,"VERMIN INFESTATION California Health and Safety Code, section 114259.1"
"PONDEROSA PINES CONDOS","20408 S VERMONT AVE ","TORRANCE","PUBLIC SWIMMING POOL LOW RISK 1",01/13/2026,,"  Fecal Accident or Other Water Contamination  California Health & Safety Code 116043, California Code of Regulations 65533, 65545, 65546  Excessive Chlorine / Disinfectant Residual  California Code of Regulations 65529, 65545  Pool Water Characteristics - pH in Excess of 8.0  California Code of Regulations 65530, 65545  "
"HILLTOP JAMAICA RESTAURANT & LOUNGE","117 W 2ND ST","POMONA","RESTAURANT (31-60) SEATS HIGH RISK",01/13/2026,01/15/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"RAFFA'S CARNICERIA PANADERIA TAQUERIA #3","580 E LA VERNE AVE","POMONA","FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",01/13/2026,01/16/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"LUCKY POMONA LIQUOR","588 E LA VERNE AVE","POMONA","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",01/13/2026,01/15/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"RAFFA'S CARNICERIA PANADERIA TAQUERIA #3","580 E LA VERNE AVE","POMONA","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",01/13/2026,01/16/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"RAFFA'S CARNICERIA PANADERIA TAQUERIA #3","580 E LA VERNE AVE","POMONA","FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",01/13/2026,01/16/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"RAFFA'S CARNICERIA PANADERIA TAQUERIA #3","580 E LA VERNE AVE","POMONA","FOOD MKT RETAIL (1-1,999 SF) MODERATE RISK",01/13/2026,01/16/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"KARIBBEAN CUISINE, INC.","8693 VENICE BLVD","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK",01/12/2026,01/15/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"CREST PORT","12022 BIRCH AVE ","HAWTHORNE","PUBLIC SWIMMING POOL LOW RISK 1",01/12/2026,,"Gate/Door Not Self-Closing and/or Self-Latching, and/or Unapproved / in Disrepair  California Code of Regulations 65545, California Building Code 3119B Inadequate Chlorine / Disinfectant Residual  California Code of Regulations 65529, 65545"
"MOTHERS NUTRITIONAL CENTER","1985 W ADAMS BLVD STE #104","LOS ANGELES","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",01/09/2026,01/13/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"7-ELEVEN #27679B","5800 ATLANTIC BLVD","MAYWOOD","FOOD MKT RETAIL (2,000+ SF) LOW RISK",01/09/2026,01/13/2026,"Vermin Infestation California Health and Safety Code, section 114259.1"
"LA RAMADA RESTAURANT        ","6330 SANTA FE AVE ","HUNTINGTON PARK","RESTAURANT (31-60) SEATS HIGH RISK",01/09/2026,01/12/2026,"Vermin Infestation California Health and Safety Code Section 114259.1"
"24 HOUR FITNESS","500 N ATLANTIC BLVD ","MONTEREY PARK","PUBLIC SWIMMING POOL HIGH RISK ADDITIONAL",01/08/2026,01/09/2026,"Missing or Malfunctioning Spa Emergency Shut-Off Switch  California Code of Regulations 65545, California Building Code 3138B.5"
"KAZAN BBQ","8730 GARFIELD AVE","SOUTH GATE","RESTAURANT (151 + ) SEATS HIGH RISK",01/08/2026,01/10/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"DENNYS #145","14550 BALDWIN PARK TOWNE CTR ","BALDWIN PARK","RESTAURANT (61-150) SEATS HIGH RISK",01/08/2026,01/10/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"MODERN LIQUOR","2026 FIRESTONE BLVD","LOS ANGELES","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",01/07/2026,01/07/2026,"No Working Toilet Facilities California Health and Safety Code Section 114250."
"JAY'S BAR","4321 W SUNSET BLVD","LOS ANGELES","RESTAURANT (31-60) SEATS HIGH RISK",01/07/2026,01/09/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"A TODA MADRE BRUNCH","4809 MELROSE AVE","LOS ANGELES","RESTAURANT (31-60) SEATS HIGH RISK",01/07/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"FAMOUS EDS LIQUOR & JR MKT  ","2720 E WHITTIER BLVD ","LOS ANGELES","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",01/07/2026,01/13/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"CASEY'S IRISH PUB","613 S GRAND AVE","LOS ANGELES","RESTAURANT (61-150) SEATS HIGH RISK",01/07/2026,01/14/2026,"No Method to Clean and Sanitize Available  California Health and Safety Code Section 114095"
"24 HOUR FITNESS","21501 HAWTHORNE BLVD","TORRANCE","PUBLIC SWIMMING POOL HIGH RISK 1",01/06/2026,01/14/2026,"Fecal Accident or Other Water Contamination  California Health & Safety Code 116043, California Code of Regulations 65533, 65545, 65546"
"EL TOREO","38801 10TH ST W","PALMDALE","RESTAURANT (61-150) SEATS HIGH RISK",01/06/2026,01/09/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"MAGIC BUZZ MINI MARKET & TOBACCO","304 E HOLT AVE","POMONA","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",01/06/2026,01/08/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"NEKTER JUICE BAR","118 W FOOTHILL BLVD STE C","AZUSA","RESTAURANT (0-30) SEATS LOW RISK",01/06/2026,01/07/2026,"California Health and Safety Code Section 114095. No Method to Clean and Sanitize Available  California Health and Safety Code Section 114095"
"SAN PEDRO DISCOUNT MARKET","11868 S SAN PEDRO ST ","LOS ANGELES","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",01/06/2026,01/08/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"JERSEY MIKE'S SUBS #20024B","1020 GLENDON AVE","LOS ANGELES","RESTAURANT (0-30) SEATS MODERATE RISK",01/06/2026,01/09/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"MEIZHOU DONGPO","10250 SANTA MONICA BLVD #200A","LOS ANGELES","RESTAURANT (61-150) SEATS HIGH RISK",01/06/2026,01/08/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"JAY'S JAMAICAN CUISINE","1747 W MANCHESTER AVE","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK",01/06/2026,01/13/2026,"No Method to Clean and Sanitize Available  California Health and Safety Code Section 114095  No Water/Hot Water - California Health and Safety Code Section 114192No Water/Hot Water - California Health and Safety Code Section 114192"
"MARLENE'S DISCOUNT STORE","4912 S HOOPER AVE ","LOS ANGELES","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",01/05/2026,01/28/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1."
